City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
305,Kathu,7.9178,98.3332,82.22,78,98,10.76,TH,overcast clouds
306,Saint-Pierre,-21.3393,55.4781,71.24,68,0,8.05,RE,clear sky
307,Cap Malheureux,-19.9842,57.6142,73.47,73,38,10.0,MU,scattered clouds
308,Bambous Virieux,-20.3428,57.7575,73.22,78,40,11.5,MU,light rain
309,Saint-Georges,12.0564,-61.7485,80.28,89,20,2.3,GD,few clouds
310,Hastings,50.8552,0.5729,60.55,97,16,6.85,GB,few clouds
311,Labuhan,-6.8844,112.2051,86.23,63,73,8.37,ID,broken clouds
312,Narsaq,60.9167,-46.05,32.22,43,0,4.21,GL,clear sky
313,Rocha,-34.4833,-54.3333,51.93,98,30,2.93,UY,scattered clouds
314,Ishigaki,24.3448,124.1572,86.13,79,75,18.41,JP,broken clouds
315,Saint Anthony,45.0205,-93.218,54.03,63,1,4.0,US,clear sky
316,Vardo,70.3705,31.1107,46.11,93,100,12.77,NO,overcast clouds
317,Harper,4.375,-7.7169,77.16,89,88,6.96,LR,light rain
318,Havre,49.5833,0.3333,52.2,100,20,2.3,FR,fog
319,Wanning,18.8003,110.3967,83.73,80,98,8.68,CN,light rain
320,Nanortalik,60.1432,-45.2371,36.32,65,1,8.32,GL,clear sky
321,Yining,29.0361,114.5636,93.92,48,15,2.1,CN,few clouds
322,Lasa,46.6166,10.7002,60.26,68,0,2.24,IT,clear sky
323,Laguna,38.421,-121.4238,85.84,42,1,4.0,US,smoke
324,Flinders,-34.5833,150.8552,64.8,81,86,14.27,AU,overcast clouds
325,Namatanai,-3.6667,152.4333,83.57,71,26,7.63,PG,light rain
326,Fairbanks,64.8378,-147.7164,35.1,91,90,2.3,US,light snow
327,Presidencia Roque Saenz Pena,-26.7852,-60.4388,60.46,60,0,5.53,AR,clear sky
328,Tigzirt,36.8886,4.1198,78.42,56,46,4.59,DZ,scattered clouds
329,Balikpapan,-1.2675,116.8289,83.39,89,20,3.44,ID,few clouds
330,Port Lincoln,-34.7333,135.8667,55.18,55,65,12.03,AU,broken clouds
331,Nederland,29.9744,-93.9924,66.24,91,1,0.0,US,clear sky
